issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
HannStar Board Intl Hldgs Ltd,2006/10/5,2006/6/7,KYG4280A1031,667,3672,HannStar Board Intl Hldgs Ltd,0,hannstarboard,0,Hannstar Board International Holdings,Hannstar Board International Holdings,HANNSTAR BOARD INTL.HDG.,K:HABI,2006/10/6,41227R,HK667,KYG4280A1031
NagaCorp Ltd,2006/10/14,2006/8/26,KYG6382M1096,3918,7011,NagaCorp Ltd,0,nagacorp,0,Nagacorp,Nagacorp,NAGACORP,K:NAGA,2006/10/19,41259H,HK3918,KYG6382M1096
Tiande Chemical Holdings Ltd,2006/10/26,2006/10/17,KYG887551060,609,2899,Tiande Chemical Holdings Ltd,0,tiandechemical,0,Tiande Chemical Holdings,Tiande Chemical Holdings,TIANDE CHEMICAL HDG.,K:TCHL,2006/10/27,41282K,HK609,KYG887551060
Aupu Group Holding Co Ltd,2006/11/30,2006/11/18,KYG063571007,477,3639,Aupu Group Holding Co Ltd,0,aupu,0,Aupu Group Holding,Aupu Group Holding,AUPU GROUP HOLDING,K:AUPU,2006/12/8,41429J,HK477,KYG063571007
Kingboard Laminates Hldg Ltd,2006/11/30,2006/8/26,KYG5257K1076,1888,3083,Kingboard Laminates Hldg Ltd,0,kingboardlamina,0,Kingboard Laminates Holdings,Kingboard Laminates Holdings,KINGBOARD LAMINATES HDG.,K:KILA,2006/12/7,41429U,HK1888,KYG5257K1076
Neo-Neon Holdings Ltd,2006/12/8,2006/11/27,KYG642571015,1868,3648,Neo-Neon Holdings Ltd,0,neo-neon,0,Neo-Neon Holdings,Neo-Neon Holdings,NEO-NEON HOLDINGS,K:NEON,2006/12/15,41452M,HK1868,KYG642571015
Kingdom Holdings Ltd,2006/12/11,2006/11/30,KYG525741032,528,2282,Kingdom Holdings Ltd,0,kingdom,0,KFM Kingdom Holdings,KFM Kingdom Holdings,KFM KINGDOM HOLDINGS,K:KFMK,2012/10/15,87699P,HK3816,KYG525551027
Scud Group Ltd,2006/12/15,2006/12/8,KYG794371024,1399,3691,Scud Group Ltd,0,scud,0,Scud Group,Scud Group,SCUD GROUP,K:SCUD,2006/12/21,41473D,HK1399,KYG794371024
Haitian Intl Holdings Ltd,2006/12/16,2006/12/7,KYG4232C1087,1882,3089,Haitian Intl Holdings Ltd,0,haitian,0,Haitian International Holdings,Haitian International Holdings,HAITIAN INTL.HOLDINGS,K:HAIT,2006/12/22,41473C,HK1882,KYG4232C1087
Wuyi Intl Pharmaceutical Co,2007/1/26,2007/1/17,KYG980891082,1889,2835,Wuyi Intl Pharmaceutical Co,0,pharmaceuti,0,CSPC Pharmaceutical Group,CSPC Pharmaceutical Group,CSPC PHARMACEUTICAL GP.,K:CPHA,1994/6/21,140134,HK1093,HK1093012172
