issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Guangzhou Shipyard Intl Co Ltd,1993/9/19,1993/9/19,,317,3731,Guangzhou Shipyard Intl Co Ltd,5,guangzhoua,5,Guangzhou Investment (Detached),Guangzhou Investment (Detached),GUANGZHOU INVESTMENT (DETACHED),68398L,2009/11/19,68398L,NA,NA
Dah Hwa Intl(Hldg)Ltd,1993/9/21,1993/9/21,KYG2618K1085,600,3111,Dah Hwa Intl(Hldg)Ltd,2,dahh,8,Dah Chong Hong Holdings,Dah Chong Hong Holdings,DAH CHONG HONG HOLDINGS,K:DAHC,2007/10/17,51080L,HK1828,HK1828040670
Recor Holdings Ltd,1993/9/27,1993/9/27,BMG7425K1009,397,3651,Recor Holdings Ltd,0,recors,9,Redco Properties Group,Redco Properties Group,REDCO PROPERTIES GROUP,K:REDC,2014/1/30,8734MU,HK1622,KYG733101318
Mei Ah International,1993/9/30,1993/9/30,BMG5964A1119,MEIA,3999,Mei Ah International,0,meiah,10,Union Medical Healthcare,Union Medical Healthcare,UNION MEDICAL HEALTHCARE,K:UMHL,2016/3/11,8952CV,HK2138,KYG9320L1005
Ankor Group,1993/11/2,1993/11/2,BMG0389T1009,59,5012,Ankor Group,0,ankor,10,Vanke Property (Overseas),Vanke Property (Overseas),VANKE PROPERTY (OS.),K:WNSP,1996/11/8,887373,HK1036,KYG9320E1061
Kunming Machine Tool Co Ltd,1993/11/29,1993/11/29,,300,3541,Kunming Machine Tool Co Ltd,4,kunmingachi,4,Kunming Dianchi Watrt 'H',Kunming Dianchi Watrt 'H',KUNMING DIANCHI WATRT. 'H',K:DCWT,2017/4/6,9056WL,HK3768,CNE100002BH4
GZITIC Hualing Holdings Ltd,1993/12/3,1993/12/3,HK0382001706,382,3639,GZITIC Hualing Holdings Ltd,6,itialngs,7,China Tian LUN Gas Holdings,China Tian LUN Gas Holdings,CHINA TIAN LUN GAS HDG.,K:CTL,2010/11/10,72426J,HK1600,KYG843961031
Kunming Machine Tool Co Ltd,1993/12/7,1993/12/7,,300,3541,Kunming Machine Tool Co Ltd,4,kunmingachi,4,Kunming Dianchi Watrt 'H',Kunming Dianchi Watrt 'H',KUNMING DIANCHI WATRT. 'H',K:DCWT,2017/4/6,9056WL,HK3768,CNE100002BH4
Arnhold Holdings Ltd,1993/12/17,1993/12/17,BMG0493Q1096,102,8711,Arnhold Holdings Ltd,1,rnholds,7,Greenland Hong Kong Hold S,Greenland Hong Kong Hold S,GREENLAND HONG KONG HOLD S,K:SPGL,2006/10/10,41227T,HK337,KYG4587S1049
Albatronics (Far East) Co Ltd,1994/1/11,1994/1/11,,987,3679,Albatronics (Far East) Co Ltd,6,aronicare,6,Harmonicare Medical Holdings,Harmonicare Medical Holdings,HARMONICARE MEDICAL HDG.,K:HARM,2015/7/7,97447K,HK1509,KYG439691075
Jusco Stores(Hong Kong) Co Ltd,1994/1/11,1994/1/11,XC0008941715,984,5311,Jusco Stores(Hong Kong) Co Ltd,3,uscosore,7,Huscoke Resources Holdings,Huscoke Resources Holdings,HUSCOKE RESOURCES HDG.,K:FRAN,1991/5/27,314028,HK704,BMG4336G1125
Contrad Intl Hldg Ltd,1994/1/17,1994/1/17,,CONTR9,3663,Contrad Intl Hldg Ltd,0,contrad,6,Country Garden Holdings,Country Garden Holdings,COUNTRY GARDEN HOLDINGS,K:COGA,2007/4/20,50378R,HK2007,KYG245241032
Jusco Stores(Hong Kong) Co Ltd,1994/1/18,1994/1/18,XC0008941715,984,5311,Jusco Stores(Hong Kong) Co Ltd,3,uscosore,7,Huscoke Resources Holdings,Huscoke Resources Holdings,HUSCOKE RESOURCES HDG.,K:FRAN,1991/5/27,314028,HK704,BMG4336G1125
Nam Hing Holdings Ltd,1994/1/19,1994/1/19,,986,3497,Nam Hing Holdings Ltd,1,namings,8,China Mining Resources Group,China Mining Resources Group,CHINA MINING RES.GROUP,K:GITC,1997/3/26,890149,HK340,BMG2119G1015
Legend Holdings Ltd,1994/1/25,1994/1/25,HK0992002417,992,3571,Legend Holdings Ltd,0,legends,8,Eagle Legend Asia,Eagle Legend Asia,EAGLE LEGEND ASIA,K:MHC,2010/7/19,69713L,HK936,KYG2953A1031
Van Shung Chong Hldgs Ltd,1994/1/26,1994/1/26,,1001,5051,Van Shung Chong Hldgs Ltd,5,anshnhong,6,Tian Shan Development (Holding),Tian Shan Development (Holding),TIAN SHAN DEV.(HLDG.),K:TSDH,2010/7/15,69713H,HK2118,KYG887201187
Pricerite Group Ltd,1994/1/27,1994/1/27,,996,5712,Pricerite Group Ltd,2,prerite,8,Prosperity Real Estate Investment Trust,Prosperity Real Estate Investment Trust,PROSPERITY REIT.TST.,K:REIT,2005/12/16,32324J,HK808,HK0808032913
Rockapetta Holdings Ltd,1994/2/2,1994/2/2,,1003,3944,Rockapetta Holdings Ltd,4,capetta,5,Carpenter Tan Holdings,Carpenter Tan Holdings,CARPENTER TAN HOLDINGS,K:CRPT,2009/12/29,68535W,HK837,KYG1991G1064
Chaifa Holdings Ltd,1994/2/28,1994/2/28,BMG2026H1016,139,2311,Chaifa Holdings Ltd,0,chaifas,8,China Infrastructure Invesment,China Infrastructure Invesment,CHINA INFR.INVESMENT,K:DAWA,1993/10/5,317765,HK600,KYG2112P1081
Cheung Tai Hong Holdings Ltd,1994/3/4,1994/3/4,,199,5084,Cheung Tai Hong Holdings Ltd,4,hengtaions,5,Heng Tai Consumables Group,Heng Tai Consumables Group,HENG TAI CONSUMABLES GP.,K:HETA,2001/12/3,14839R,HK197,KYG440351149
United Pacific Industries Ltd,1994/4/11,1994/4/11,,176,3612,United Pacific Industries Ltd,6,iepacific,6,Swire Pacific 'A',Swire Pacific 'A',SWIRE PACIFIC 'A',K:SWPA,1973/1/1,916546,HK19,HK0019000162
Rich City Pkg Hldg Ltd,1994/4/15,1994/4/15,BMG843761054,1051,1041,Rich City Pkg Hldg Ltd,5,chitpg,9,China Taiping Insurance Holdings,China Taiping Insurance Holdings,CHINA TAIPING IN.HDG.,K:CINS,2000/6/29,280966,HK966,HK0000055878
HB International Holdings Ltd,1994/4/26,1994/4/26,BMG8571C1082,1063,3663,HB International Holdings Ltd,0,hbs,6,Hypebeast,Hypebeast,HYPEBEAST,K:HYPL,2016/4/11,7079XU,HK8359,KYG468321040
Interform Ceramics Tech,1994/4/28,1994/4/28,BMG480631040,1060,3251,Interform Ceramics Tech,6,iterocemi,6,Titan Petrochemicals GLD,Titan Petrochemicals GLD,TITAN PETROCHEM. GLD.,K:GEMZ,1998/6/17,865733,HK1192,BMG8890G1116
China Pharm Entrp & Invest,1994/6/2,1994/6/2,XC0008932912,1093,2834,China Pharm Entrp & Invest,4,chinaparent,4,China Parenting Network Holdings,China Parenting Network Holdings,CHINA PARENTING NET.HDG.,K:CPNH,2015/7/8,9748WC,HK8361,KYG2162T1094
Sinocan Holdings Ltd,1994/6/3,1994/6/3,,1095,3411,Sinocan Holdings Ltd,0,sinocans,6,Sinopec Kantons Holdings,Sinopec Kantons Holdings,SINOPEC KANTONS HOLDINGS,K:SIKA,1999/6/25,691904,HK934,BMG8165U1009
Egana International (Holdings),1994/6/8,1994/6/8,KYG2943Q1010,48,3873,Egana International (Holdings),1,egana,10,Yunfeng Financial Group,Yunfeng Financial Group,YUNFENG FINANCIAL GROUP,K:MANH,1988/6/1,755960,HK376,HK0000091790
Dah Bang (Holdings) Ltd,1994/7/1,1994/7/1,,DBHGF,5084,Dah Bang (Holdings) Ltd,1,dahbang,7,Dah Sing Banking Group,Dah Sing Banking Group,DAH SING BANKING GP.,K:DSBG,2004/6/30,672428,HK2356,HK2356013600
CH-HK Photo Prods Hldgs Ltd,1994/9/6,1994/9/6,,1123,5946,CH-HK Photo Prods Hldgs Ltd,7,kpotprod,7,Peak Sport Products,Peak Sport Products,PEAK SPORT PRODUCTS,K:PKSP,2009/9/29,67995P,HK1968,KYG695991011
Pacific Andes Intl Hldgs Ltd,1994/9/19,1994/9/19,,1174,5142,Pacific Andes Intl Hldgs Ltd,3,pacificans,5,Pacific Basin Shipping,Pacific Basin Shipping,PACIFIC BASIN SHIP.,K:PBSH,2004/7/14,29168W,HK2343,BMG684371393
